"","amos","ls1","ls2","ls3","ls4","nls_quest","nls_asym","gis","lis","qis","nld","spikedF","spikedOp","spikedSt"
"1",1.12168138155273,1.08207153156844,1.08218865153367,1.05448418161712,1.05438318914585,1.06944476345105,1.06949258632607,1.07053513853039,1.07581647451425,1.06974327164832,1.11918094328262,1.17317928363571,1.17178926708184,1.17458758065416
"2",1.12478015628408,1.08024518783933,1.08029770455727,1.05340096894621,1.05333996386995,1.06767863640593,1.06733056052121,1.06880091954149,1.07494752989463,1.06756031719714,1.12188519917694,1.17495566687308,1.1733142306743,1.17662717419564
"3",1.12641455890467,1.08285383936374,1.08283353695291,1.05372005723872,1.0537285163173,1.06993988897002,1.06998982800783,1.07154788245791,1.07722339462261,1.07051744008577,1.12371820815633,1.16909549710767,1.16628677217485,1.17134352176933
"4",1.129979589214,1.08101390698507,1.0809890327979,1.05425103635852,1.05426260002014,1.06857794209941,1.06864162557175,1.07134561000187,1.07861202518908,1.06944641112129,1.12698257591749,1.17018052164652,1.16809610105257,1.17258857118201
"5",1.12157389687577,1.08181916619906,1.08183191339709,1.05413160196131,1.05414054910726,1.06799048984018,1.06756605726271,1.06878268396165,1.07400399171505,1.0680112763043,1.11885928954823,1.17319795143949,1.17316120429418,1.17449461069865
"6",1.12184811428119,1.0806687973444,1.08064607723123,1.05402952540291,1.05403331594881,1.06683931230839,1.066676169488,1.06821794733799,1.07431137641631,1.06700264244067,1.11910885930326,1.17225000457132,1.1679994098779,1.17431062292156
"7",1.12750958816639,1.08086834937745,1.08088058266369,1.05230017381746,1.05231029372432,1.06821221390483,1.06827280839502,1.07025306862471,1.07674155060861,1.06879675789392,1.12475590394531,1.17308437736643,1.17072934041459,1.17512558278123
"8",1.12573426337179,1.08010793643396,1.08008395816638,1.05312438111797,1.05314838921278,1.0677815863479,1.0677311067966,1.06966885500466,1.07590445087921,1.06835025577255,1.12308017297318,1.16965327398121,1.16710672155014,1.17157889452206
"9",1.12851774101689,1.08412944376624,1.08416209287672,1.05504285831998,1.05504111646399,1.07024922184122,1.07050878409065,1.07269720744472,1.07942478531305,1.07105388082851,1.12588126698864,1.1727717130165,1.17034146723135,1.1749788853272
"10",1.12638558417031,1.08096599651838,1.08110046505249,1.05431455524105,1.05419843856536,1.06862303768344,1.06881915471537,1.0707609482162,1.07692097446976,1.06947666379823,1.12364353017636,1.17086261962997,1.16856863653784,1.17240860796171
"11",1.12738053957859,1.08333378469348,1.08336843484772,1.05339517343044,1.0533817550225,1.07036323196989,1.07001432601108,1.07199665330947,1.07866190144883,1.07046835384162,1.12489534584127,1.17547914173349,1.17474743870454,1.17704961590114
"12",1.12839953684956,1.0815732371042,1.08168039734935,1.05366219527982,1.05358720475219,1.0692237590221,1.06935668866752,1.07144138754169,1.07815710392867,1.06983833124801,1.12556181618226,1.17155906459219,1.1697807294198,1.17364566069457
"13",1.12143413898943,1.08149984749287,1.08148011451798,1.05335094052015,1.0533597649866,1.06700762314344,1.06703648606182,1.06834668921089,1.0741457677239,1.06728975938759,1.11884552981592,1.17188285151223,1.16956250416183,1.17405747026996
"14",1.11937738280368,1.07832910228865,1.07832119474427,1.05321537410943,1.05321256547293,1.06507274368269,1.06531447012505,1.06651007853941,1.07241047580107,1.06541805553257,1.11677795031621,1.16983121769681,1.16617018477496,1.17195728332529
"15",1.1220561566378,1.0797990481004,1.07978259014177,1.0536173565721,1.05362630784862,1.06592226544782,1.06596985038941,1.06736377019689,1.07346365361044,1.06614002860784,1.11925041059876,1.17066664590557,1.16880116868974,1.17285986295806
"16",1.12784943240884,1.08338349262558,1.08337898918747,1.05521449756258,1.05522403467674,1.06985964366326,1.06991238612861,1.07186623747867,1.07859611744379,1.07029241152678,1.12524236638581,1.17011622800668,1.16658382072813,1.17214657657257
"17",1.1240685268156,1.0818504800874,1.08186618118852,1.05360635756267,1.05359274817309,1.06905415661549,1.06840829786879,1.06990464612529,1.07604315466344,1.06865376509784,1.12138096145728,1.1732098491161,1.17122567292578,1.17543287288028
"18",1.12361717476049,1.08075250964067,1.08077949682383,1.05272354814396,1.05271466201123,1.06748282506476,1.06729343300443,1.06902895598982,1.0753938641164,1.0676764619849,1.12100923082622,1.17488651887595,1.17268095231079,1.1768634954763
"19",1.12517601675215,1.08290892904718,1.08289270170189,1.0543415423304,1.05434396621054,1.0698866988003,1.06936905527914,1.07114756778611,1.07793140548818,1.06954909476946,1.12253513416001,1.1701201398965,1.16690534064096,1.17272647160726
"20",1.12010435303872,1.08330383211205,1.08327808439872,1.05441487030206,1.05442435870252,1.06902538531646,1.06862273572465,1.0695949202599,1.07487412069077,1.06883983331647,1.11766462728138,1.1772874136397,1.1755892738697,1.17896669004911
"21",1.12317865554368,1.080145758852,1.08017901328277,1.05283201112873,1.05281907459347,1.06628633111833,1.06586545463325,1.06759116599026,1.07369229308251,1.06636568258055,1.12032780966283,1.17474987980515,1.17203512702299,1.17639081101292
"22",1.13145426240146,1.08151752532132,1.08152033801212,1.05414332133468,1.05413854627434,1.06986291305195,1.06954495416937,1.07187356490892,1.07896138098658,1.07007661490901,1.12866116566272,1.17151400752746,1.16842971911221,1.17334447770531
"23",1.12443548584108,1.08275353402304,1.08273988337419,1.05433802117943,1.05435645701534,1.06926393331967,1.06914555022514,1.07083654771142,1.07709479834203,1.06953571390313,1.1218726825081,1.17106859705618,1.17031833258239,1.17277870149598
"24",1.12472146161235,1.08188258013237,1.08187579186173,1.05492755745857,1.05493938575774,1.068430513451,1.06860171134516,1.07036053437913,1.07652217169878,1.06908348185335,1.12200355693531,1.17228473042553,1.17098044800543,1.17431186633899
"25",1.12621980594681,1.08266860694861,1.0826726362521,1.05380905383626,1.05381529493318,1.06940883805422,1.0692699604376,1.07088686107689,1.07712274739191,1.06958418513098,1.12355078290176,1.17370242718144,1.17207450217969,1.17566395611298
"26",1.13038488553298,1.08452432372384,1.08452069173293,1.05556179776111,1.0555788026042,1.07183043915143,1.07170530124608,1.07371242318496,1.08064212503153,1.07201939525908,1.1277474500675,1.17205955646877,1.16936882024264,1.17426158554879
"27",1.12817263147202,1.08022769041729,1.08022763672454,1.0516603759741,1.05167680427736,1.06791424444304,1.06788900269124,1.07035409739803,1.07736383603817,1.06859898459519,1.12548639431679,1.17074176804079,1.16892392212014,1.17252522782827
"28",1.13113578301558,1.08296536049348,1.08305890970366,1.054834370536,1.05480921653879,1.06996049903489,1.07005544344979,1.07297841628239,1.08049734190959,1.07092416033281,1.12831214111785,1.17648644426184,1.17416995955067,1.17845506054325
"29",1.12573714287421,1.08057126421014,1.08054855594626,1.05313794816832,1.05316095285683,1.06866309187834,1.06895216615613,1.07077153862669,1.07708007985661,1.06943938155352,1.12318276746032,1.17140158477783,1.16865124647612,1.1731618224961
"30",1.12345233457085,1.08353278620138,1.08358549073082,1.05554664365069,1.05552321536923,1.07029862504576,1.07018571485822,1.07136184558844,1.07698228634335,1.0704141387058,1.12097010200231,1.17432039346742,1.17267463676409,1.17611517642049
"31",1.12569219837446,1.08107835786405,1.08106915805905,1.05426933053372,1.05428112418334,1.06808625933828,1.06819363393045,1.06990114802346,1.07652886889112,1.0683890123567,1.12299309164652,1.17179464065223,1.16917793565534,1.17412797068254
"32",1.12960225757513,1.0828592254937,1.08286624361576,1.05472389007582,1.05471605612639,1.06994565612686,1.06984072748092,1.07222972756089,1.07930915881752,1.070388150228,1.12670425916637,1.17138901755445,1.16992879425467,1.17363311558582
"33",1.1247241117946,1.08340721889643,1.08345750823548,1.05387039643583,1.05384815659087,1.06919421039305,1.06901994700732,1.07067483416305,1.07731406690299,1.06919480253697,1.12232245916514,1.17300274618496,1.17107765128929,1.17531637749186
"34",1.13394842897213,1.08492410336291,1.08492762612284,1.05559147906249,1.05560803831899,1.07263598253284,1.0729191081059,1.07574258134957,1.08331716751679,1.07367452271012,1.13120604165307,1.17176309563273,1.16958901860103,1.17410457286374
"35",1.12435030725292,1.08231048678899,1.08238037551404,1.05333283863251,1.05329744958895,1.06933848811245,1.06936083486307,1.07044674530131,1.07615498399317,1.06943448503926,1.12175143208127,1.17163757418919,1.17105531849428,1.17307352541203
"36",1.13076897045484,1.08104733516391,1.08103933653295,1.05318925229106,1.05320411024557,1.06907394616745,1.06939304903689,1.07176275381633,1.07875940819401,1.0699757266847,1.12790094002899,1.16788056664043,1.1672530729046,1.16951033690467
"37",1.13099881958373,1.08240576482435,1.0823883830144,1.05476934775688,1.05479190569035,1.07110997854775,1.07126983730794,1.07328634380982,1.07987479590846,1.07175676029892,1.1282352391815,1.17126013889487,1.16949835341861,1.17285138374224
"38",1.13082652435586,1.0837268715298,1.08371785788071,1.05560984516267,1.05562566386562,1.07127896733534,1.07144801070301,1.07386608715316,1.08136288397918,1.07190993384378,1.12814247800929,1.17390535538576,1.1717148315184,1.17637857313422
"39",1.12639922576923,1.08091688845331,1.08088623836315,1.0532765915806,1.05329663149485,1.06812783517767,1.06803882617551,1.07016043483943,1.0767213062304,1.06865532352912,1.12360457544729,1.17435726606277,1.17225892718415,1.17604796445912
"40",1.12948218114967,1.08193885720764,1.08191264575694,1.0533096389224,1.0533270502037,1.07030835584851,1.06997049768094,1.0718990101263,1.07844686419791,1.07038460837042,1.12667777540434,1.16871362332594,1.1673985715498,1.1706276301777
"41",1.13804945312294,1.0842150948934,1.08422924264721,1.05383591497076,1.05384239470544,1.07320065480364,1.07322297645186,1.07598155016339,1.0839370265875,1.07370076323681,1.13532291791608,1.17482316197586,1.17276808770342,1.1766925024651
"42",1.12447845906324,1.08076392187268,1.08079210598032,1.05270992228319,1.05268168010531,1.06714340168155,1.06707035789866,1.06867430783357,1.07471686217694,1.06746701574129,1.12176072354897,1.17355920925891,1.17208266550276,1.1750865939716
"43",1.12454573826616,1.08230839173423,1.08230537998201,1.0538395923772,1.05385379105648,1.06850209360352,1.06841933058167,1.07032219134446,1.07657667241442,1.06901543805247,1.12198082027634,1.17468856884054,1.17329423101049,1.17666947096665
