"","amos","ls1","ls2","ls3","ls4","nls_quest","nls_asym","gis","lis","qis","nld","spikedF","spikedOp","spikedSt"
"506",4.37468353222362,4.37345165461388,4.37375882459036,4.16966537433813,4.16896516672047,4.29190268024895,4.2867594766737,4.28737784267623,4.28842942116054,4.28657103183697,4.35812637825389,5.2614107800897,5.21603458027522,5.27524511862618
"507",4.3349574202393,4.35742719989744,4.35712172981444,4.14600366534578,4.14602521137323,4.25806785885926,4.25656556505986,4.26323304916698,4.26379183046992,4.26288292505472,4.32162219417669,5.20349716527579,5.1824347502699,5.21533299222039
"508",4.3675032688596,4.35979936036445,4.36090917924329,4.1669740649711,4.16632492118563,4.28266587201595,4.27481564095787,4.28355964480152,4.28486299483335,4.2824782215468,4.35095408829408,5.1852677977185,5.15344664870405,5.19983929601839
"509",4.31453371548027,4.36143637281977,4.36118505127624,4.15803745925344,4.15800891580168,4.25240744274512,4.24755036203447,4.25342759423531,4.25420786413499,4.25287598568196,4.30241267635305,5.208930881665,5.1811182805555,5.22421598932544
"510",4.31118200312292,4.34645909861543,4.34620758101124,4.14341365068208,4.14293542668226,4.24029783966511,4.23740987086019,4.24073061912366,4.2413741752793,4.24031824295123,4.29869504614916,5.17466892317256,5.13903736872428,5.19239362236375
"511",4.32476958317397,4.35470489573913,4.35479940041237,4.17296237631447,4.17249571922657,4.24626088664764,4.24551473339746,4.24611906559355,4.24681206468856,4.24561929273925,4.3113998399658,5.20802807426056,5.18976244779839,5.22134942986971
"512",4.33485467895883,4.33925003714351,4.33886461206629,4.1521465439769,4.15205647210106,4.24643661258659,4.24328864045246,4.25309755947117,4.25495531821295,4.25146614704604,4.31722376930293,5.1472941758596,5.11788178639991,5.16317785953677
"513",4.31689140812631,4.34076039931692,4.34041712876912,4.14808250911867,4.14807953326855,4.23921000127265,4.23570127909425,4.24063217137128,4.24177513148288,4.23975919566852,4.30202109015685,5.21683504980513,5.16092256159951,5.23460910866242
"514",4.35554585738518,4.33120339212927,4.33150995125062,4.15934258934619,4.15935675299562,4.26202504757717,4.25473097132389,4.26699377009335,4.26857591281454,4.26559667601047,4.33714852824302,5.15498191738777,5.13421295135448,5.16913383327305
"515",4.337699252561,4.359417001825,4.3610059278598,4.14851059547864,4.14714998715458,4.27204999284385,4.26066530934454,4.26666601714006,4.26713152741013,4.2664268489991,4.32412694466084,5.18359990633354,5.1503501092276,5.2012442051775
"516",4.32388118505736,4.35482780992488,4.35490322376355,4.14095391667204,4.14077158497478,4.25799306112353,4.25484698088378,4.259334389396,4.25948429794579,4.25938369773075,4.31296900008167,5.15242152364137,5.11840635555391,5.1702909790508
"517",4.33823144905758,4.34550127818414,4.3463712076224,4.15041150894831,4.14951768435094,4.26170881940882,4.2540720073442,4.26120832221464,4.26198583666776,4.26064718425517,4.32437046135673,5.17479686883331,5.12223181009144,5.19198168101674
"518",4.34327775208782,4.36132964127764,4.36134170158682,4.15506370103322,4.15491283123706,4.27499256602214,4.27171614275711,4.27472799787935,4.27546852045465,4.27420299647562,4.32922337481783,5.16045048804513,5.12526114134188,5.17659811671569
"519",4.33619516281479,4.36433055409697,4.36424283137477,4.14934751764122,4.149250723107,4.26578980784496,4.25979572196642,4.26610290355274,4.26677522902528,4.26560042197032,4.32446311547036,5.1448352578318,5.11457068878868,5.16168442660414
"520",4.34655701704988,4.35914902226952,4.35884684700489,4.15160233058433,4.15157725970607,4.26512416519723,4.26342464899848,4.27062990786428,4.27199146502886,4.26949366423281,4.33142569689133,5.18137604450573,5.16182529261294,5.19494956831816
"521",4.33510262975846,4.34944054257051,4.34939266171876,4.15820308812579,4.15809598307505,4.25707617981646,4.25149177412594,4.25685273552048,4.25800040611977,4.25591575414186,4.3183116320244,5.19197366797423,5.17085768171079,5.20701217549454
"522",4.36578287008349,4.3666713010443,4.36717193304021,4.16143789648044,4.16095670683576,4.29022106438651,4.28172380742876,4.28649922369686,4.28801009037307,4.28518612798728,4.35154994370292,5.21094302925537,5.17833265828676,5.22586664251962
"523",4.31408979306904,4.34224078916679,4.34184784205374,4.15320246083021,4.1529987818929,4.23821468157788,4.23490486217378,4.24084227087473,4.24233116045692,4.23959143159501,4.29731231976323,5.18493290355758,5.15943580775352,5.19987792423868
"524",4.32164322174189,4.38131638436041,4.38103009673819,4.1672117188431,4.16710565402988,4.27113983109824,4.26732030442627,4.26992855721697,4.26978305008705,4.27029544272928,4.31294438089641,5.17320420211607,5.14975495179483,5.18857110640444
"525",4.32944257422005,4.36344062992345,4.36308931052774,4.14765929309716,4.14726496335186,4.26347467282812,4.25693110462661,4.25933952967374,4.25979525475625,4.25914425854165,4.31773827465792,5.17500034573955,5.14945047905822,5.18748544806597
"526",4.3179579350691,4.35610117833957,4.35578643543228,4.15898746718071,4.15882685052506,4.24451231558373,4.2482590264498,4.25547031599702,4.25630076026984,4.25490365852604,4.30544584618282,5.2106363799937,5.18965509196032,5.2239140513885
"527",4.31910228514394,4.33683745725992,4.33650126841517,4.1598997276576,4.15988111460228,4.24916986652311,4.24544938226559,4.25083783843262,4.25200602247267,4.24985048095306,4.30427060986988,5.15747576834294,5.12751586309469,5.17263997309807
"528",4.31536253471258,4.3267470169158,4.32711770273384,4.13584022161144,4.13552371717946,4.24230286489518,4.23389952281749,4.23979095880007,4.24075531096168,4.2390423845171,4.30031643946487,5.15529450413862,5.10846096473587,5.17453531568089
"529",4.32109170640023,4.37729644540763,4.37774265973984,4.16188591264408,4.16131689106215,4.2641151509832,4.25893494842532,4.2607748634357,4.26109750040902,4.26069334683788,4.30989546136019,5.14501930075282,5.11667450420039,5.16169085280161
"530",4.35211440284396,4.37889641541952,4.37872969952465,4.16298184174014,4.16292095453072,4.27737484520136,4.27662770421734,4.27826225127473,4.27929786106103,4.27745704265542,4.33871948166405,5.206360764018,5.1875182112825,5.2201951271527
"531",4.3303636239724,4.34495363981206,4.34471233168528,4.14266937240004,4.14263543363798,4.25075459600941,4.24813212494825,4.25513723201855,4.25607333692708,4.25444008770292,4.31579924390691,5.19063687671901,5.17088176606321,5.20578272838787
"532",4.33634978071269,4.35885419669642,4.35943228973648,4.15412520457197,4.1533190479127,4.25850089694014,4.25235008811219,4.25518683264026,4.25591831428577,4.25464145992931,4.32402733643987,5.19159130338477,5.15676153705796,5.20505086569195
