"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",0.0426366579898977,0.1998448182435,0.0330582365225377,0,0,5.43784383447838e-18,0.0376341507111421,0.0560078304929483,8.95127206674113e-17,0.0135321187712996,2.92682484484689e-18,0.194654097649506,0,7.34650161658445e-18,0.00398873917675701,0.01771700961215,0,0.045530575407632,0.0256225478827515,5.56932964016493e-19,0,0.168106244548115,1.35052710866376e-17,0,0.161666972991763
"2",0.0486353543791909,0.202520174757715,0.0267897923621644,0,5.39582452146946e-18,6.67390588325678e-19,0.041452826766664,0.0586656024256028,0,0.0147018721090967,7.87180215950065e-18,0.19663485043148,0,2.29003854697655e-18,0.000546575044281623,0.0159148093155506,8.67361737988402e-19,0.0450166103798294,0.0241731054946312,0,0,0.163942039585184,0,3.74883824730181e-17,0.161006386948609
"3",0.0479777723947672,0.20796850266998,0.0253037158655297,1.14467874234508e-18,9.90062610487691e-19,0,0.0406280682114913,0.0573312978768599,1.18538887717444e-18,0.014280422170572,0,0.195796702510916,0,7.26610002434969e-18,0,0.0123155300418149,0,0.043042001372026,0.0228250056468458,0,0,0.164918234338043,0,0,0.167612746901155
"4",0.0482031893859582,0.208611899464812,0.0241049886723633,0,0,8.92554114337576e-19,0.0416368796137615,0.0575214896702499,0,0.015393369063891,7.77184436516506e-18,0.193446500571722,2.65584617086918e-17,0,0,0.0110773891148994,0,0.0427432195247588,0.022273845114635,4.42422451419927e-19,0,0.165733479654256,7.79433218789712e-19,0,0.169253750148693
"5",0.0467740325180353,0.201008461467865,0.0236266484137632,3.89804803554475e-19,0,0,0.0444731990098353,0.0574851886395113,0,0.0159570109810038,7.60687827748862e-18,0.198104295222051,2.05296904927157e-17,0,0,0.0146258456733273,1.55895222292766e-18,0.0439736884920128,0.0232804582199573,0,3.46824879339866e-18,0.167168214219939,0,0,0.163522957142699
"6",0.0489901337405612,0.206553854687812,0.0252020358095201,0,0,4.88633096845468e-18,0.0441892429254961,0.0563450723337956,1.24008928525743e-17,0.0144879620922351,1.5619186560003e-18,0.193169198563869,0,0,0,0.012067241180549,1.44374832724017e-18,0.042044205938656,0.0209034907612734,0,0,0.172461091827823,0,6.71565824827743e-17,0.16358647013841
"7",0.0308293388889268,0.217437029250375,0.02805798872127,0,0,2.71306350615082e-18,0.0413356767762779,0.0567209422286841,0,0.0294602812849871,2.20444413043388e-18,0.206061583554602,1.17567459722913e-17,1.01716436549299e-17,0,0.00899554065794725,2.56590764507874e-18,0.059353012127239,0.0369010605547489,0,0,0.127746393203527,8.27400182780303e-18,0,0.157101152751414
"8",0.0353831578606513,0.219723175725289,0.0189207247501823,0,1.80286906258991e-19,0,0.0445641176380969,0.0581699498927572,0,0.0346175670959692,2.11719271650532e-19,0.208130622702645,0,0,0,0.000553489592642346,2.93586108034855e-18,0.0607807538864966,0.0379027748818742,0,2.19525037733511e-17,0.127111571277147,1.1116197707003e-18,0,0.154142094696249
"9",0.0313222404038026,0.224920937878846,0.013480876657447,0,2.55077185313194e-17,0,0.0408770704674934,0.058245754756596,0,0.0234847300620864,7.66177447649468e-18,0.206788653344045,3.101972356628e-17,1.19166476872867e-17,3.01780395144327e-18,0,2.08184485703737e-18,0.0684012737234403,0.0400880001205439,3.82670600382782e-05,2.45325010278972e-17,0.13687564354884,0,0,0.155476551976821
"10",0.0269528232143693,0.219397756168962,0.0122228401595331,0,1.06244315362815e-17,1.91905492563043e-17,0.0447004977724329,0.0584647203331538,1.20899632591389e-18,0.0207396219236864,0,0.205065535395057,7.98050157077593e-18,3.32833329740967e-17,6.57329602950223e-20,0,2.00318750946016e-18,0.0693757987888664,0.0400395920424696,0,0,0.144949273509961,0,1.2716152136076e-17,0.158091540691509
